latitude,longitude,crime_rate,traffic_density,lighting,time_of_day,cluster,region_severity
18.431368538270227,73.86839657119542,0.1082291964824104,0.7778001469145017,0.8435575716844326,night,1,safe
18.458077684815272,73.92047066465872,0.3106465501521426,0.0498450746237217,0.4797935151408083,night,4,safe
18.45973859883104,73.88516155747674,0.9814044381005166,0.1988560589792999,0.1328693912944129,day,2,danger
18.46883327731512,73.9101542451098,0.7289334145705207,0.518543853107818,0.8367280958522889,day,3,danger
18.420239104280725,73.90148910797146,0.1051772760251288,0.5117638303864219,0.9031427143682164,night,1,safe
18.48721254663053,73.88474012481224,0.8927909587885406,0.5433015831008174,0.4507733625208269,day,3,danger
18.442688711295474,73.9016690393487,0.803927812859506,0.920952405431469,0.3669873573073113,night,0,danger
18.47795915275911,73.91425848729898,0.5561486262647464,0.1964092039824433,0.0125156552634606,night,4,safe
18.44890670073653,73.88939770646361,0.0055894720346421,0.9225094477336382,0.1326820322323051,day,1,safe
18.453518545318108,73.87520980044576,0.9446389897077656,0.6501876588730384,0.11170088832688,day,3,danger
18.447723641866027,73.90982621039244,0.7513693389417758,0.8952958144748194,0.9850271815364,day,0,danger
18.435305270909897,73.86687809482645,0.5869129925052746,0.9748834533794388,0.7244309231114108,night,0,danger
18.468756370845668,73.88003292726191,0.7228304991903323,0.070171458049865,0.3650391369636607,night,2,danger
18.41237774492463,73.85859937609709,0.325754315379508,0.4500844340523705,0.6839792735985095,day,4,safe
18.446280391255883,73.87706125984343,0.918356192666963,0.8337978338818451,0.3349546826012289,night,0,danger
18.44124228045215,73.91951039584004,0.7774831724545167,0.8081815240203218,0.2206427296920157,night,0,danger
18.435072558609352,73.89776400593422,0.8653393903550242,0.3767325233268781,0.6703521497905569,day,3,danger
18.44326861913212,73.8847185681781,0.2027321398518247,0.0171899326614122,0.58616149245306,night,4,safe
18.46058926587924,73.8759066854513,0.8564280993908634,0.4704623458002503,0.0205386749699072,night,3,danger
18.42976758858543,73.90448390869764,0.4891052572994906,0.1194105779575114,0.4720446187140658,day,4,safe
18.46918055711386,73.87324708037391,0.3641500133336289,0.5752762883446314,0.8042320601079619,day,1,safe
18.443200881871423,73.86408184045251,0.990410690940896,0.2173040332549689,0.0011158043645448,day,2,danger
18.4556271535886,73.8315108603499,0.3986521544015073,0.8230685150149202,0.8759376483379727,night,1,safe
18.430766539498634,73.84378301709641,0.8837197677974674,0.0781402183521017,0.3273586379514023,day,2,danger
18.4560766596261,73.87641706357263,0.8357905625253536,0.0743999759084274,0.2345135888267657,night,2,danger
18.427871751497804,73.8449573686941,0.0776109639535443,0.9737888385857736,0.0850943919424279,night,1,safe
18.452609539501864,73.87200006695309,0.8754450836372257,0.1732616342529054,0.0685650032157393,night,2,danger
18.463401420349623,73.87302491041474,0.1800412474770194,0.7962482259571999,0.9470681618106844,day,1,safe
18.42862928414204,73.89004457906928,0.8643803506010588,0.1288877076456198,0.5738475189577265,day,2,danger
18.462025728611277,73.87085745042256,0.7998374085751639,0.4014117573895628,0.7164682669380075,night,3,danger
18.43086441635484,73.9009293906167,0.486931938068888,0.8316299997610336,0.4290161361192298,night,1,safe
18.45288557505922,73.87640603083715,0.915087941823369,0.257620869032084,0.3685282133955723,night,2,danger
18.47874077488064,73.90288564512946,0.936697023143013,0.8635229471852854,0.4730138084952854,day,0,danger
18.46795086853029,73.90656293425094,0.467756561208048,0.260412732603733,0.3074403486458488,day,4,safe
18.451432391047128,73.87210751594029,0.7914340590437279,0.7924985256013451,0.3924027700269725,day,0,danger
18.46455177984257,73.88122656512056,0.7872442293476174,0.5961982662542221,0.3480637421020221,day,3,danger
18.42537373318641,73.90468449526786,0.5962669080162452,0.946533849282302,0.6081757383239643,night,0,danger
18.477311513930704,73.86880187629082,0.47990278079403,0.37653748726857,0.6695138760469304,night,4,safe
18.453334044549543,73.89696016451327,0.6030513912959743,0.7506253335975451,0.4077036079917644,day,0,danger
18.44751917250341,73.85575844548933,0.9619524144905288,0.2276547023210854,0.6697891735902505,night,2,danger
18.41720750236836,73.86158987397133,0.503325970373983,0.1202284501175788,0.6895940877312974,night,4,safe
18.46678352366449,73.83378597331135,0.7984586979648184,0.0714046935907048,0.2842803008539348,day,2,danger
18.456863241390103,73.86915542963888,0.940858077836836,0.0556269044478855,0.2187888420986214,day,2,danger
18.451828284385005,73.87747713542208,0.9367560360115954,0.5666322760993133,0.2603876124151607,day,3,danger
18.46928274047857,73.89304571021803,0.8410999116723085,0.9580332454246988,0.5850414484254917,night,0,danger
18.418028084556155,73.8761281096539,0.7563235473159732,0.0066736217699429,0.0598046587008351,night,2,danger
18.42388294881681,73.86960900500105,0.1515860883022713,0.4967961538870817,0.9577906962814964,night,1,safe
18.49360367237645,73.86689291470807,0.6596351506633396,0.9266430771894169,0.5630908654508848,day,0,danger
18.452797467725343,73.87712712741927,0.9275376326181968,0.392693322740574,0.3208270896204143,day,3,danger
18.48325603489408,73.84378991626005,0.9821514387651858,0.8791573310401558,0.6602149041702974,day,0,danger
18.457853145512875,73.85215078479943,0.0017348954317577,0.8812561463608226,0.2329752269711917,night,1,safe
18.460116340916446,73.88160655026445,0.9812457909279186,0.1756808023348076,0.1194625629498484,night,2,danger
18.49482914385314,73.85942177582055,0.2018534405033992,0.9057587866302936,0.7031204090833536,night,1,safe
18.46654316887036,73.89595179129974,0.5912229266602306,0.9408037928945924,0.6409531818119465,day,0,danger
18.482947471535745,73.84274734421507,0.6137771351100728,0.6651192804226952,0.8283884236704023,night,3,danger
18.48576231814557,73.86484460146477,0.0290252257263949,0.5282876653120067,0.3052092713832074,night,1,safe
18.44015556725592,73.8967031415925,0.1699034422098776,0.1849541271355137,0.8787443907598225,night,4,safe
18.423188535565387,73.91137815633307,0.9204294455419524,0.954410744441026,0.1635289266717562,day,0,danger
18.45962330375904,73.90044497551561,0.2741784380352715,0.999010596151099,0.5448927512117426,day,1,safe
18.442408220291536,73.91461660551137,0.4400604722419132,0.3079004524903409,0.7130388542106119,day,4,safe
18.45010140796009,73.87057392773755,0.8692941532028905,0.4377190504219943,0.1555413541047273,day,3,danger
18.469436827394173,73.8700873105765,0.2410805360147716,0.2608925495741669,0.1292555033287965,day,4,safe
18.45366660687099,73.87707519017717,0.8348157060367203,0.6709366876333687,0.2593278218950435,day,3,danger
18.464615986068704,73.85097196678782,0.8519730655572404,0.041799067302271,0.4113253239657548,day,2,danger
18.43339169943373,73.86370285610107,0.4037365173166224,0.0052532087957093,0.4514088150060045,day,4,safe
18.455764392109423,73.87012373724743,0.8891776477402169,0.3515784511997043,0.0932077073901206,day,2,danger
18.4578397145065,73.88046108689682,0.963214024462555,0.5771096439903188,0.3759450782061868,day,3,danger
18.453372115255355,73.8911070536424,0.1432813299848981,0.3464336816718065,0.3093545483409634,night,4,safe
18.48604523813982,73.85716077865791,0.7989291585838914,0.7700318899822779,0.7477355943985808,day,0,danger
18.462229238128263,73.86253865625899,0.8649687185449327,0.3456645638108152,0.0328505212652675,night,2,danger
18.45872546450797,73.91192837823412,0.5507788823129498,0.757659319424561,0.6531554112059231,day,0,danger
18.45243277971626,73.88182881274501,0.95432397287114,0.0358623797086674,0.1387168342218308,day,2,danger
18.485123370423285,73.89631823036736,0.4062368335345192,0.4522112881960688,0.0897429972136311,night,4,safe
18.45274910421789,73.87580235402932,0.8228876230951923,0.3947435911734155,0.280378670597815,day,3,danger
18.45102480692856,73.87740395685204,0.873714057214038,0.96307130209865,0.1139538031554851,day,0,danger
18.42719327563675,73.85817647496201,0.3397622245949581,0.7638536813993639,0.1935680058258753,day,1,safe
18.45416982212738,73.9083115192369,0.3682208842007834,0.4091317007081411,0.0433641798851704,night,4,safe
18.41632554554523,73.86067564989655,0.925211006566921,0.9792680796147106,0.9130975453060194,day,0,danger
18.45352892723968,73.87677894919848,0.980851856937358,0.7795694867176083,0.2036675569990073,night,0,danger
18.47874790522058,73.88002042055689,0.7710078032071892,0.5636441661799492,0.9253018118284764,night,3,danger
18.457857421798664,73.88988536826591,0.5796155230913468,0.4661200021517399,0.347446571386784,night,3,danger
18.4543464128218,73.88900607065709,0.9589410108680896,0.7205490364571475,0.371730582634497,day,0,danger
18.41581927022105,73.85727914472422,0.1633892932200871,0.8673669007089106,0.4480901819713665,day,1,safe
18.46599289423304,73.86100112052983,0.3690326223068008,0.7397001891021627,0.5362829735229288,day,1,safe
18.42749745877945,73.8931750182281,0.87118241010276,0.1769387111852411,0.8817423865643198,night,2,danger
18.444022631585856,73.87463385551666,0.8677715188964024,0.8977187521674356,0.1979360482326336,day,0,danger
18.44668260830699,73.86593043920794,0.9218065519853086,0.6290885665262401,0.1150462094308665,night,3,danger
18.44863856837996,73.88371628537969,0.9105803342408988,0.1110433104885483,0.371833898889827,night,2,danger
18.45268174287638,73.87526840952202,0.8624764011240611,0.8442400308074013,0.0750458644209748,night,0,danger
18.47358786167119,73.90643550217023,0.5698697298437854,0.8426466597235439,0.640484762326235,night,0,danger
18.41682753000893,73.87911146041914,0.0778307993358488,0.1130011175160358,0.4108840004162107,night,4,safe
18.43773239933316,73.90893950125198,0.0504627599461819,0.2635333472325838,0.0500794651774786,night,4,safe
18.411542363232165,73.87035049331996,0.0884427260163628,0.6924021814357265,0.9680830987677418,night,1,safe
18.470865826060347,73.89692733846401,0.7042717076088079,0.6772652189256323,0.4831300431848669,night,3,danger
18.45746940868304,73.87355146794596,0.9952950155663268,0.7905094002155973,0.3200109970019271,night,0,danger
18.42367783276665,73.90330459922367,0.3842837585065575,0.9419911836024116,0.2852385637966157,day,1,safe
18.417004782091727,73.86130791963151,0.961639849130324,0.5578139275009736,0.924487791288326,day,3,danger
18.43498930786443,73.89055544100391,0.0877993049627714,0.0989994842137973,0.7307437021756038,day,4,safe
18.43404868015162,73.8480732386574,0.3312600268321585,0.1438181576285329,0.2430719581015459,day,4,safe
18.457326580590344,73.87326343479126,0.9738108099610636,0.8166914226057302,0.3860838996929326,night,0,danger
